estproduto,pronome,tn,unimedida,estfilho,pronome,unimedida,fase,estqtduso
360609000004,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00004 ,120,UF,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,UN,90,2.0000
360609000004,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00004 ,120,UF,360601000063,MODULO INTERMEDIARIO PENEIRA D 11                 ,UN,90,2.0000
360609000004,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00004 ,120,UF,360601000071,MODULO EXTREMIDADE PENEIRA D 3.5                  ,UN,90,4.0000
360609000004,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00004 ,120,UF,360603001337,DESVIADOR DE FLUXO LATERAL CANAL INFERIOR         ,UN,50,2.0000
360609000004,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00004 ,120,UF,360605000003,CJ REGULADOR DE FLUXO                             ,UN,90,2.0000
360609000004,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00004 ,120,UF,360605000015,MODULO FUNIL SAIDA D240                           ,UN,90,1.0000
360609000004,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00004 ,120,UF,360601000067,MODULO EXTREMIDADE PENEIRA PARCIAL D 11           ,UN,90,2.0000
360609000004,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00004 ,120,UF,360602000095,FECHAMENTO SUP FUNIL DE CARGA D240                ,UN,90,1.0000
360609000004,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00004 ,120,UF,360602000229,TUBO D500 X 1170                                  ,UN,90,9.0000
360609000004,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00004 ,120,UF,360603001340,CH SUP DE VEDACAO TAMPA DECK                      ,UN,70,2.0000
360609000004,MAQUINA DE PRE-LIMPEZA MODELO MLEC-120 N° AC00004 ,120,UF,360605000005,CICLONE D1400 AC 120                              ,UN,90,1.0000
