tn,total_maq,estfilho,pronome.1,quantity_usage,percentage_usage
60,53,350509000015,FILTRO DE MANGAS 110MG E CANALIZACAO              ,1,1.8867924528301887
60,53,351501000014,AMORTECEDOR FINAL AUTOMATICO D200                 ,2,3.7735849056603774
60,53,351501000014,AMORTECEDOR FINAL AUTOMATICO D200                 ,2,3.7735849056603774
60,53,351501000020,AMORTECEDOR FINAL AUTOMATICO D200 SAE 1045        ,11,20.754716981132077
60,53,351501000020,AMORTECEDOR FINAL AUTOMATICO D200 SAE 1045        ,11,20.754716981132077
60,53,351501000020,AMORTECEDOR FINAL AUTOMATICO D200 SAE 1045        ,11,20.754716981132077
60,53,351501000020,AMORTECEDOR FINAL AUTOMATICO D200 SAE 1045        ,11,20.754716981132077
60,53,351501000020,AMORTECEDOR FINAL AUTOMATICO D200 SAE 1045        ,11,20.754716981132077
60,53,351501000020,AMORTECEDOR FINAL AUTOMATICO D200 SAE 1045        ,11,20.754716981132077
60,53,351501000020,AMORTECEDOR FINAL AUTOMATICO D200 SAE 1045        ,11,20.754716981132077
60,53,351501000020,AMORTECEDOR FINAL AUTOMATICO D200 SAE 1045        ,11,20.754716981132077
60,53,351501000020,AMORTECEDOR FINAL AUTOMATICO D200 SAE 1045        ,11,20.754716981132077
60,53,351501000020,AMORTECEDOR FINAL AUTOMATICO D200 SAE 1045        ,11,20.754716981132077
60,53,351501000020,AMORTECEDOR FINAL AUTOMATICO D200 SAE 1045        ,11,20.754716981132077
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000026,AMORTECEDOR FINAL D200 C/TAMPA                    ,27,50.943396226415096
60,53,351501000027,AMORTECEDOR FINAL D240 C/TAMPA                    ,2,3.7735849056603774
60,53,351501000027,AMORTECEDOR FINAL D240 C/TAMPA                    ,2,3.7735849056603774
60,53,351501000032,AMORTECEDOR FINAL D200 C/TAMPA SAE 1045           ,10,18.867924528301888
60,53,351501000032,AMORTECEDOR FINAL D200 C/TAMPA SAE 1045           ,10,18.867924528301888
60,53,351501000032,AMORTECEDOR FINAL D200 C/TAMPA SAE 1045           ,10,18.867924528301888
60,53,351501000032,AMORTECEDOR FINAL D200 C/TAMPA SAE 1045           ,10,18.867924528301888
60,53,351501000032,AMORTECEDOR FINAL D200 C/TAMPA SAE 1045           ,10,18.867924528301888
60,53,351501000032,AMORTECEDOR FINAL D200 C/TAMPA SAE 1045           ,10,18.867924528301888
60,53,351501000032,AMORTECEDOR FINAL D200 C/TAMPA SAE 1045           ,10,18.867924528301888
60,53,351501000032,AMORTECEDOR FINAL D200 C/TAMPA SAE 1045           ,10,18.867924528301888
60,53,351501000032,AMORTECEDOR FINAL D200 C/TAMPA SAE 1045           ,10,18.867924528301888
60,53,351501000032,AMORTECEDOR FINAL D200 C/TAMPA SAE 1045           ,10,18.867924528301888
60,53,351501000033,AMORTECEDOR FINAL D240 C/TAMPA SAE 1045           ,1,1.8867924528301887
60,53,351501000127,ENTRADA DUPLA Y 90° D150 SAE 1045                 ,1,1.8867924528301887
60,53,351501000223,PRESILHA D150                                     ,1,1.8867924528301887
60,53,351501000224,PRESILHA D200                                     ,50,94.33962264150944
60,53,351501000224,PRESILHA D200                                     ,50,94.33962264150944
